ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,PARAMETER_CODE_NAME,PARAMETER_STATUS_NAME,EPA_PARAM_IR_CATEGORY_ID,USE_NAME,ATTAINMENT_CODE_NAME,PARAMETER_ATTAINMENT
UT16020102-052_00,Rudd Creek,COPPER,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020102-052_00,Rudd Creek,PH,Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020102-052_00,Rudd Creek,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020102-052_00,Rudd Creek,PH,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT16020202-010_00,Third Water Creek,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT14060004-002_00,Indian Canyon Creek,SELENIUM,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria
UT14060004-002_00,Indian Canyon Creek,ARSENIC,Cause,5,Domestic Source,Not Supporting,Not meeting criteria
UT14060004-002_00,Indian Canyon Creek,BORON,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT14060004-002_00,Indian Canyon Creek,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT-L-16010101-007_00,Little Creek Reservoir,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-16010101-007_00,Little Creek Reservoir,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14040107-006_00,China Lake,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14040107-006_00,China Lake,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-16030001-001_00,Navajo Lake,DISSOLVED OXYGEN,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT-L-16030001-001_00,Navajo Lake,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16030004-009_00,San Pitch-5,PH,Cause,4A,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16030004-009_00,San Pitch-5,PH,Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16030004-009_00,San Pitch-5,PH,Cause,4A,Agricultural,Not Supporting,Not meeting criteria
UT16030004-009_00,San Pitch-5,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16030004-009_00,San Pitch-5,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020304-002_00,Faust Creek,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020101-013_00,Huff Creek,"PHOSPHORUS, TOTAL",Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020101-013_00,Huff Creek,SEDIMENT,Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020101-013_00,Huff Creek,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060007-017_00,Pinnacle Wash,TOTAL DISSOLVED SOLIDS (TDS),Cause,4A,Agricultural,Not Supporting,Not meeting criteria
UT14060007-017_00,Pinnacle Wash,SELENIUM,Meeting Criteria,2,Aquatic Wildlife (Non-game Fish and Other),Fully Supporting,Meeting criteria
UT16020102-035_00,Holmes Creek-1,COPPER,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT16020102-035_00,Holmes Creek-1,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020102-035_00,Holmes Creek-1,PH,Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020102-035_00,Holmes Creek-1,PH,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT16020102-035_00,Holmes Creek-1,PH,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT-L-14060004-001_00,Strawberry Reservoir,"PHOSPHORUS, TOTAL",Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14060004-001_00,Strawberry Reservoir,DISSOLVED OXYGEN,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT-L-14060004-001_00,Strawberry Reservoir,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060003-004_00,Uinta River-2,TOTAL DISSOLVED SOLIDS (TDS),Cause,4A,Agricultural,Not Supporting,Not meeting criteria
UT16020202-022_00,Thistle Creek-1,SEDIMENT,Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020204-029_00,Rose Creek,ESCHERICHIA COLI (E. COLI),Cause,4A,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT-L-14060004-004_00,Lake Canyon Lake,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT-L-14060004-004_00,Lake Canyon Lake,ARSENIC,Cause,5,Domestic Source,Not Supporting,Not meeting criteria
UT-L-14060004-004_00,Lake Canyon Lake,BORON,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT-L-14060004-004_00,Lake Canyon Lake,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020102-047_00,Barton Creek,ALUMINUM,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020102-047_00,Barton Creek,PH,Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020102-047_00,Barton Creek,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020102-047_00,Barton Creek,PH,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT14060003-007_00,Zimmerman Wash,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT16030003-026_00,Sevier River-7,PH,Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16030003-026_00,Sevier River-7,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16030003-026_00,Sevier River-7,PH,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT16030003-026_00,Sevier River-7,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060003-015_00,Lake Fork-2,ZINC,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria
UT-L-14060010-008_00,Red Fleet Reservoir,DISSOLVED OXYGEN,Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14060010-008_00,Red Fleet Reservoir,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT15010010-001_00,Virgin River-1,BORON,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT15010010-001_00,Virgin River-1,TEMPERATURE,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT15010010-001_00,Virgin River-1,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT15010003-002_02,Kanab Creek-1-2,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Not meeting criteria
UT15010003-002_02,Kanab Creek-1-2,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT16020102-038_00,Farmington Creek-2,ALUMINUM,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020102-038_00,Farmington Creek-2,COPPER,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020102-038_00,Farmington Creek-2,PH,Cause,5,Domestic Source,Not Supporting,Not meeting criteria
UT16020102-038_00,Farmington Creek-2,PH,Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020102-038_00,Farmington Creek-2,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020102-038_00,Farmington Creek-2,PH,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT16020202-019_00,Clear Creek-Tucker,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria
UT-L-16030002-002_00,Tropic Reservoir,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020301-001_00,Lake Creek-Millard Co,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020301-001_00,Lake Creek-Millard Co,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT16030006-007_00,Red Creek (Iron Co.),ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT-L-16020202-001_00,Salem Lake,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria
UT14060007-008_00,Coal Creek,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Not meeting criteria
UT14060009-007_00,Cottonwood Creek Upper,PH,Cause,5,Domestic Source,Not Supporting,Not meeting criteria
UT14060009-007_00,Cottonwood Creek Upper,PH,Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT14060009-007_00,Cottonwood Creek Upper,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060009-007_00,Cottonwood Creek Upper,PH,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT14060009-007_00,Cottonwood Creek Upper,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT14060009-007_00,Cottonwood Creek Upper,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060007-013_00,Grassy Trail Creek Upper,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020102-032_02,Middle Fork Kays Creek,COPPER,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14040106-009_00,Birch Spring Draw,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT14040106-009_00,Birch Spring Draw,CADMIUM,Cause,5,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Not meeting criteria
UT14040106-009_00,Birch Spring Draw,SELENIUM,Cause,5,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Not meeting criteria
UT14040106-009_00,Birch Spring Draw,SELENIUM,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT16010204-008_01,Bear River-2-1,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT16010204-008_01,Bear River-2-1,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT16010204-008_01,Bear River-2-1,TEMPERATURE,Meeting Criteria,2,Aquatic Wildlife (Warm Water),Not Supporting,Meeting criteria
UT16010204-008_01,Bear River-2-1,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT16020203-006_01,Provo River-6-1,ALUMINUM,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020203-006_01,Provo River-6-1,ZINC,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT14040107-001_00,Blacks Fork,PH,Meeting Criteria,2,Recreation and Aesthetics (Infrequent Primary Contact),Fully Supporting,Meeting criteria
UT14040107-001_00,Blacks Fork,PH,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT14040107-001_00,Blacks Fork,PH,Meeting Criteria,2,Agricultural,Fully Supporting,Meeting criteria
UT14040107-001_00,Blacks Fork,ZINC,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14040107-001_00,Blacks Fork,ALUMINUM,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16030004-001_00,San Pitch-1,TOTAL DISSOLVED SOLIDS (TDS),Cause,4A,Agricultural,Not Supporting,Not meeting criteria
UT16020102-001_00,Weber River-1,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Not meeting criteria
UT16020102-001_00,Weber River-1,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria
UT16020102-001_00,Weber River-1,"AMMONIA, TOTAL",Meeting Criteria,2,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Meeting criteria
UT16020102-001_00,Weber River-1,"AMMONIA, TOTAL",Meeting Criteria,2,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Meeting criteria
UT16020102-002_00,Weber River-3,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria
UT16030003-027_00,Peterson Creek,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT16030003-027_00,Peterson Creek,TEMPERATURE,Cause,5,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Not meeting criteria
UT16030003-027_00,Peterson Creek,COPPER,Meeting Criteria,2,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Meeting criteria
UT16030003-027_00,Peterson Creek,COPPER,Meeting Criteria,2,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Fully Supporting,Meeting criteria
UT14030005-015_00,North Cottonwood Creek,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT-L-16030007-028_00,Puffer Lake,DISSOLVED OXYGEN,Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-16030007-028_00,Puffer Lake,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020204-002_00,Jordan River-2,DISSOLVED OXYGEN,Cause,4A,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT16020204-002_00,Jordan River-2,DISSOLVED OXYGEN,Cause,4A,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria
UT16020204-002_00,Jordan River-2,ESCHERICHIA COLI (E. COLI),Cause,4A,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020204-002_00,Jordan River-2,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT16020204-002_00,Jordan River-2,TOTAL DISSOLVED SOLIDS (TDS),Meeting Criteria,2,Agricultural,Fully Supporting,Meeting criteria
UT16020102-050_00,Mill Creek1-Davis,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020102-050_00,Mill Creek1-Davis,PH,Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020102-050_00,Mill Creek1-Davis,PH,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT16020102-050_00,Mill Creek1-Davis,PH,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT16020102-050_00,Mill Creek1-Davis,COPPER,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT16020102-050_00,Mill Creek1-Davis,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT14070002-004_02,Ivie Creek Upper-2,TOTAL DISSOLVED SOLIDS (TDS),Meeting Criteria,2,Agricultural,Insufficient Information,Meeting criteria
UT16030006-005_00,Little Creek (Iron Co.),ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020204-006_03,Dry Creek,TEMPERATURE,Cause,5,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria
UT16020204-006_03,Dry Creek,TOTAL DISSOLVED SOLIDS (TDS),Meeting Criteria,2,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Meeting criteria
UT16020204-006_03,Dry Creek,SELENIUM,Meeting Criteria,2,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Meeting criteria
UT16020204-006_03,Dry Creek,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria
UT-L-14040107-005_00,Lyman Lake,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060003-017_00,Duchesne River-4,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16010101-006_00,Bear River-4,DISSOLVED OXYGEN,Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16010101-006_00,Bear River-4,"PHOSPHORUS, TOTAL",Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16010101-006_00,Bear River-4,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16010101-006_00,Bear River-4,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060007-015_00,Price River-5,TOTAL DISSOLVED SOLIDS (TDS),Meeting Criteria,2,Agricultural,Fully Supporting,Meeting criteria
UT14070001-001_00,Halls Creek,TEMPERATURE,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT16020102-027_00,Kimball Creek,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria
UT16020102-027_00,Kimball Creek,ARSENIC,Cause,5,Domestic Source,Not Supporting,Not meeting criteria
UT16020101-007_00,Echo Creek,SEDIMENT,Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020101-007_00,Echo Creek,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT14070007-004_00,Cottonwood Creek,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Not meeting criteria
UT16020204-024_02,Butterfield Creek,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020204-024_02,Butterfield Creek,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT16020204-024_02,Butterfield Creek,SELENIUM,Meeting Criteria,2,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Fully Supporting,Meeting criteria
UT-L-15010008-008_00,Baker Dam Reservoir,DISSOLVED OXYGEN,Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-15010008-008_00,Baker Dam Reservoir,"PHOSPHORUS, TOTAL",Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-15010008-008_00,Baker Dam Reservoir,TEMPERATURE,Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14040107-005_00,East Fork Smiths Fork,ALUMINUM,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14040107-005_00,East Fork Smiths Fork,ZINC,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT16020101-012_00,Chalk Creek-2,ESCHERICHIA COLI (E. COLI),Cause,5,Domestic Source,Not Supporting,Not meeting criteria
UT16020101-012_00,Chalk Creek-2,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020101-008_00,Carruth Creek,ESCHERICHIA COLI (E. COLI),Cause,5,Domestic Source,Not Supporting,Not meeting criteria
UT16020101-008_00,Carruth Creek,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16010101-002_00,Six Mile Creek - Bear,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16010101-002_00,Six Mile Creek - Bear,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16010101-002_00,Six Mile Creek - Bear,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16010101-002_00,Six Mile Creek - Bear,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16030005-003_00,Tanner Creek,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Severely Habitat-Limited),Not Supporting,Not meeting criteria
UT-L-16020201-004_02,Provo Bay portion of Utah Lake,"PHOSPHORUS, TOTAL",Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT-L-16020201-004_02,Provo Bay portion of Utah Lake,PH,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT-L-16020201-004_02,Provo Bay portion of Utah Lake,PCBS IN FISH TISSUE,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT-L-16020201-004_02,Provo Bay portion of Utah Lake,EUTROPHICATION,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT-L-16020201-004_02,Provo Bay portion of Utah Lake,HARMFUL ALGAL BLOOMS,Cause,5,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria
UT-L-16020201-004_02,Provo Bay portion of Utah Lake,"AMMONIA, TOTAL",Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT-L-16020201-004_02,Provo Bay portion of Utah Lake,"AMMONIA, TOTAL",Cause,5,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria
UT16020201-002_02,Mary Ellen Gulch,ZINC,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020201-002_02,Mary Ellen Gulch,COPPER,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020201-002_02,Mary Ellen Gulch,CADMIUM,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060003-018_00,West Fork Duchesne,PH,Meeting Criteria,2,Domestic Source,Fully Supporting,Meeting criteria
UT14060003-018_00,West Fork Duchesne,PH,Meeting Criteria,2,Recreation and Aesthetics (Infrequent Primary Contact),Fully Supporting,Meeting criteria
UT14060003-018_00,West Fork Duchesne,PH,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria
UT14060003-018_00,West Fork Duchesne,PH,Meeting Criteria,2,Agricultural,Fully Supporting,Meeting criteria
UT14060004-013_00,Strawberry-4,NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,Insufficient Information,3,Aquatic Wildlife (Cold Water),Not Supporting,Not enough information
UT14060004-013_00,Strawberry-4,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060004-013_00,Strawberry-4,PH,Cause,5,Domestic Source,Not Supporting,Not meeting criteria
