Years,Day,Date,Cysts,Nauplii,Juveniles,Males,"Total
Females",Females,"Females with
Eggs/Naups","Females
with Cysts",Units
2013,Jan. 15,1/15/2013,71.45,0.04,0,0,0,0,0,0,
2013,Jan. 31,1/31/2013,52.36,0.03,0,0,0,0,0,0,
2013,Feb. 4,2/4/2013,40.92,0,0,0,0,0,0,0,
2013,Feb. 12,2/12/2013,80.78,0,0,0,0,0,0,0,
2013,Feb. 18,2/18/2013,37.76,0,0,0,0,0,0,0,
2013,Feb. 25,2/25/2013,113.36,0.01,0,0,0,0,0,0,
2013,Sep. 16,9/16/2013,89.31,5.86,0.71,0.34,0.21,0.08,0.05,0.08,
2013,Oct. 1,10/1/2013,146.67,6.98,0.48,0.73,0.55,0.23,0.09,0.23,
2013,Oct. 7,10/7/2013,94.82,4.38,0.36,0.53,0.55,0.22,0.06,0.27,
2013,Oct. 16,10/16/2013,201.3,3.28,0.19,0.67,0.47,0.19,0.03,0.26,
2013,Oct. 21,10/21/2013,197.59,1.77,0.26,0.47,0.37,0.17,0.02,0.18,
2013,Oct. 30,10/30/2013,130.84,1.94,0.14,0.37,0.63,0.19,0.04,0.4,
2013,Nov. 4,11/4/2013,176.16,1.68,0.12,0.35,0.35,0.14,0.04,0.17,
2013,Nov. 12,11/12/2013,97.27,1.76,0.14,0.41,0.31,0.11,0.06,0.14,
2013,Nov. 18,11/18/2013,98.27,1.93,0.18,0.39,0.29,0.12,0.06,0.11,
2013,Nov. 25,11/25/2013,86.72,1.45,0.15,0.32,0.19,0.09,0.04,0.06,
2013,Dec. 10,12/10/2013,108.51,0.5,0.04,0.12,0.09,0.04,0.03,0.02,
2013,Dec. 18,12/18/2013,34.11,0.01,0,0.01,0.01,0,0,0,
2013,Dec. 30,12/30/2013,34.02,0,0,0,0,0,0,0,
2014,Jan. 6,1/6/2014,58.89,0,0,0,0,0,0,0,
2014,Jan. 14,1/14/2014,34.5,0,0,0,0,0,0,0,
2014,Jan. 21,1/21/2014,32.28,0,0,0,0,0,0,0,
2014,Jan. 28,1/28/2014,38.33,0,0,0,0,0,0,0,
2014,Sep. 22,9/22/2014,135.81,7.61,0.48,0.94,0.71,0.43,0.11,0.17,
2014,Oct. 2,10/2/2014,132.32,1.88,0.09,0.57,0.33,0.16,0.05,0.13,
2014,Oct. 6,10/6/2014,107.34,1.19,0.15,0.58,0.38,0.15,0.09,0.14,
2014,Oct. 14,10/14/2014,117.62,0.73,0.39,0.42,0.21,0.07,0.03,0.11,
2014,Oct. 20,10/20/2014,61.57,0.41,0.96,0.32,0.2,0.07,0.04,0.08,
2014,Oct. 28,10/28/2014,75.96,1.68,0.99,0.26,0.09,0.03,0.02,0.05,
2014,Nov. 4,11/4/2014,101.53,2.25,1.47,0.28,0.17,0.07,0.03,0.06,
2014,Nov. 18,11/18/2014,49.17,2.25,3.78,0.34,0.23,0.19,0.02,0.02,
2014,Nov. 26,11/26/2014,56.27,1.03,2.8,0.34,0.13,0.12,0,0,
2014,Dec. 8,12/8/2014,10.3,0.84,1.3,0.15,0.16,0.16,0,0,
2014,Dec. 15,12/15/2014,71.53,0.38,0.54,0.13,0.07,0.07,0,0,
2014,Dec. 23,12/23/2014,137.7,0.2,0.5,0.08,0.06,0.06,0,0,
2014,Dec. 29,12/29/2014,65.57,0.05,0.08,0.04,0.04,0.04,0,0,
2015,Jan. 5,1/5/2015,27.75,0,0,0,0,0,0,0,
2015,Jan. 14,1/14/2015,23.73,0,0,0,0,0,0,0,
2015,Jan. 15,1/15/2015,21.87,0,0,0,0,0,0,0,
2015,Jan. 20,1/20/2015,19.78,0,0,0,0,0,0,0,
2015,Sep. 9,9/9/2015,95.98,7.84,0.72,0.86,0.61,0.27,0.14,0.2,
2015,Sep. 17,9/17/2015,143.75,2.9,1.08,0.72,0.43,0.2,0.07,0.16,
2015,Sep. 23,9/23/2015,56.77,4.04,1.34,0.56,0.29,0.16,0.03,0.09,
2015,Sep. 29,9/29/2015,54.48,4.99,2.59,0.34,0.26,0.15,0.02,0.08,
2015,Oct. 5,10/5/2015,64.96,8.13,1.98,0.66,0.52,0.35,0.04,0.14,
2015,Oct. 13,10/13/2015,48.47,5.71,2.14,0.77,0.69,0.47,0.02,0.19,
2015,Oct. 22,10/22/2015,80.18,3.58,0.78,1.04,0.87,0.7,0.02,0.15,
2015,Oct. 26,10/26/2015,89.89,1.91,0.44,0.69,0.56,0.45,0.01,0.1,
2015,Nov. 12,11/12/2015,94.62,0.73,0.1,0.49,0.42,0.31,0.01,0.09,
2015,Nov. 17,11/17/2015,178.17,0.96,0.08,0.57,0.49,0.36,0.02,0.11,
2015,Nov. 23,11/23/2015,46.61,0.28,0.05,0.33,0.25,0.19,0.01,0.05,
2015,Dec. 1,12/1/2015,88.82,0.07,0.01,0.15,0.13,0.11,0,0.02,
2015,Dec. 8,12/8/2015,50.6,0.01,0,0.03,0.04,0.04,0,0,
2015,Dec. 17,12/17/2015,157.28,0.1,0,0.01,0.01,0.01,0,0,
2016,Jan. 4,1/4/2016,53.72,0.04,0,0,0,0,0,0,
2016,Jan. 11,1/11/2016,23.34,0,0,0,0,0,0,0,
2016,Jan. 19,1/19/2016,27.09,0,0,0,0,0,0,0,
2016,Jan. 21,1/21/2016,33.25,0,0,0,0,0,0,0,
2016,Jan. 26,1/26/2016,36.22,0,0,0,0,0,0,0,
2016,Sep. 26,9/26/2016,46.58,1.96,0.43,0.72,0.6,0.34,0.03,0.24,
2016,Oct. 6,10/6/2016,73.97,0.72,0.14,0.54,0.52,0.25,0.02,0.25,
2016,Oct. 12,10/12/2016,122.29,0.54,0.18,0.4,0.32,0.11,0.01,0.2,
2016,Oct. 19,10/19/2016,116.17,0.75,0.14,0.52,0.34,0.18,0.02,0.14,
2016,Oct. 25,10/25/2016,87.16,0.96,0.11,0.58,0.4,0.13,0.03,0.25,
2016,Nov. 2,11/2/2016,124.29,2.86,0.94,0.34,0.25,0.06,0.03,0.16,
2016,Nov. 7,11/7/2016,38.88,2.87,1.7,0.52,0.34,0.12,0.05,0.16,
2016,Nov. 14,11/14/2016,37.34,4.19,2.7,0.34,0.22,0.1,0.03,0.1,
2016,Nov. 22,11/22/2016,90.99,3.94,1.95,0.28,0.21,0.1,0.02,0.09,
2016,Dec. 6,12/6/2016,67.86,1.23,1.26,0.15,0.13,0.09,0,0.04,
2016,Dec. 19,12/19/2016,38.56,0.06,0.04,0.03,0.02,0.02,0,0,
2016,Dec. 27,12/27/2016,12.99,0,0,0,0,0,0,0,
2017,Jan. 3,1/3/2017,19.11,0,0,0,0,0,0,0,
2017,Jan. 5,1/5/2017,,,,,,,,,
2017,Jan. 6,1/6/2017,63.3,0.02,0,0,0,0,0,0,
2017,Jan. 12,1/12/2017,35.48,0,0,0,0,0,0,0,
2017,Jan. 18,1/18/2017,4.5,0,0,0,0,0,0,0,
2017,Jan. 26,1/26/2017,10.71,0,0,0,0,0,0,0,
2017,Sep. 25,9/25/2017,61.53,1.22,0.1,0.55,0.49,0.11,0.12,0.26,
2017,Oct. 5,10/5/2017,83.69,0.28,0.05,0.54,0.45,0.1,0.15,0.2,
2017,Oct. 16,10/16/2017,59.93,0.2,0.02,0.35,0.29,0.06,0.09,0.14,
2017,Oct. 23,10/23/2017,106.27,0.35,0.02,0.37,0.36,0.12,0.04,0.21,
2017,Oct. 31,10/31/2017,92.57,0.62,0.01,0.44,0.38,0.09,0.08,0.21,
2017,Nov. 6,11/6/2017,98.85,0.76,0.04,0.47,0.34,0.1,0.07,0.16,
2017,Nov. 13,11/13/2017,68.65,1.24,0.2,0.51,0.36,0.05,0.1,0.21,
2017,Nov. 20,11/20/2017,57.55,1.25,0.24,0.26,0.22,0.06,0.07,0.09,
2017,Nov. 28,11/28/2017,50.91,0.96,0.29,0.19,0.14,0.03,0.02,0.09,
2017,Dec. 5,12/5/2017,40.63,0.94,0.37,0.14,0.08,0.01,0.03,0.04,
2017,Dec. 11,12/11/2017,23.91,1.03,0.3,0.08,0.09,0.02,0.03,0.03,
2017,Dec. 18,12/18/2017,44.36,0.89,0.13,0.05,0.04,0.01,0.01,0.02,
2017,Dec. 27,12/27/2017,11.23,0.16,0,0.02,0.01,0,0,0,
2018,Jan. 2,1/2/2018,22.7,0.13,0,0.01,0.01,0,0,0,
2018,Jan. 8,1/8/2018,9.07,0.02,0,0,0,0,0,0,
2018,Jan. 11,1/11/2018,15.39,0.04,0,0,0,0,0,0,
2018,Jan. 16,1/16/2018,8.13,0.02,0,0,0,0,0,0,
2018,Aug. 23,8/23/2018,79.62,2.38,0.34,0.36,,0.07,0.07,0.21,
2018,Sep. 26,9/26/2018,108.39,2.71,0.22,0.34,0.25,0.08,0.05,0.12,
2018,Oct. 1,10/1/2018,108.05,3.01,0.28,0.22,0.21,0.11,0.03,0.08,
2018,Oct. 15,10/15/2018,153.43,2.12,0.24,0.29,0.32,0.17,0.05,0.11,
2018,Oct. 22,10/22/2018,81.91,1.8,0.23,0.32,0.35,0.17,0.05,0.13,
2018,Nov. 7,11/7/2018,66.46,1.38,0.28,0.18,0.2,0.08,0.05,0.06,
2018,Nov. 13,11/13/2018,106.34,1.52,0.19,0.29,0.39,0.2,0.05,0.13,
2018,Nov. 19,11/19/2018,87.33,1.31,0.14,0.23,0.25,0.1,0.06,0.09,
2018,Dec. 5,12/5/2018,107.65,0.39,0.01,0.07,0.05,0.03,0.01,0.01,
2018,Dec. 10,12/10/2018,64.19,0.23,0.01,0.04,0.05,0.03,0.01,0.01,
2018,Dec. 18,12/18/2018,46.21,0.02,0,0.01,0.01,0.01,0,0,
2019,Jan. 2,1/2/2019,79.82,0,0,0,0,0,0,0,
2019,Jan. 8,1/8/2019,79.22,0,0,0,0,0,0,0,
2019,Jan. 14,1/14/2019,41.32,0,0,0,0,0,0,0,
2019,Jan. 24,1/24/2019,42.16,0,0,0,0,0,0,0,
2019,Jan. 29,1/29/2019,50.85,0,0,0,0,0,0,0,
2019,Feb. 8,2/8/2019,77.99,0,0,0,0,0,0,0,
2019,Feb. 25,2/25/2019,,,,,,,,,
2019,Aug. 13,8/13/2019,67.93,4.38,0.08,0.53,0.44,0.22,0.07,0.15,
2019,Sep. 23,9/23/2019,153.11,1.7,0.19,0.32,0.27,0.08,0.03,0.16,
2019,Oct. 7,10/7/2019,107.08,1.42,0.12,0.34,0.34,0.05,0.05,0.24,
2019,Oct. 16,10/16/2019,118.19,2.88,0.45,0.47,0.37,0.06,0.05,0.26,
2019,Oct. 31,10/31/2019,144.72,2.01,0.21,0.35,0.35,0.04,0.06,0.24,
2019,Nov. 6,11/6/2019,99.55,1.2,0.35,0.37,0.37,0.07,0.1,0.2,
2019,Nov. 12,11/12/2019,129.49,1.48,0.26,0.32,0.27,0.04,0.07,0.16,
2019,Nov. 18,11/18/2019,61.26,1.14,0.32,0.19,0.22,0.06,0.05,0.11,
2019,Dec. 2,12/2/2019,72.56,0.26,0.04,0.04,0.03,0.01,0.01,0.01,
2019,Dec. 9,12/9/2019,104.74,0.36,0.02,0.02,0.03,0.02,0,0.01,
2019,Dec. 19,12/19/2019,89.68,0.13,0,0.01,0.01,0.01,0,0,
2019,Dec. 31,12/31/2019,47,0.03,0,0,0,0,0,0,
2020,Jan. 7,1/7/2020,42.64,0.01,0,0,0,0,0,0,
2020,Jan. 16,1/16/2020,,,,,,,,,
2020,Jan. 20,1/20/2020,53.24,0.01,0,0,0,0,0,0,
2020,Sep. 15,9/15/2020,84.26,4.81,0.39,0.39,0.31,0.14,0.05,0.12,
2020,Oct. 1,10/1/2020,103.85,2.22,0.39,0.85,0.9,0.62,0.1,0.18,
2020,Oct. 13,10/13/2020,220.09,3.3,0.2,0.69,0.73,0.31,0.12,0.3,
2020,Oct. 28,10/28/2020,158.84,0.56,0.04,0.42,0.35,0.13,0.06,0.16,
2020,Nov. 12,11/12/2020,181.83,0.05,0.02,0.19,0.17,0.04,0.04,0.08,
2020,Nov. 25,11/25/2020,109.65,0.01,0,0.11,0.09,0.03,0.02,0.04,
2020,Dec. 7,12/7/2020,77.75,0.39,0.02,0.07,0.08,0.04,0.02,0.02,
2020,Dec. 21,12/21/2020,58.25,0,0,0.01,0.01,0.01,0,0,
2021,Jan. 4,1/4/2021,62.28,0,0,0,0,0,0,0,
2021,Jan. 20,1/20/2021,58.59,0,0,0,0,0,0,0,
2021,Feb. 1,2/1/2021,53.37,0,0,0,0,0,0,0,
2021,Feb. 22,2/22/2021,47.51,0,0,0,0,0,0,0,
2021,Sep. 27,9/27/2021,171.75,0.5,0.24,0.72,0.72,0.46,0.06,0.2,
2021,Oct. 21,10/21/2021,147.93,0.03,0.01,0.39,0.39,0.19,0.04,0.16,
2021,Oct. 28,10/28/2021,133.34,0.09,0.01,0.31,0.29,0.14,0.04,0.11,
2021,Nov. 3,11/3/2021,76.5,0.07,0,0.24,0.26,0.14,0.02,0.1,
2021,Nov. 15,11/15/2021,64.42,0.12,0,0.19,0.13,0.06,0.02,0.04,
2021,Nov. 22,11/22/2021,63.03,0.04,0,0.14,0.1,0.03,0.04,0.03,
2021,Nov. 29,11/29/2021,43.07,0.04,0.01,0.12,0.05,0.02,0.01,0.02,
2021,Dec. 7,12/7/2021,38.6,0.05,0.01,0.06,0.04,0.02,0.01,0.01,
2021,Dec. 20,12/20/2021,18.97,0.01,0,0.02,0.01,0,0.01,0,
2022,Jan. 10,1/10/2022,64.71,0,0,0,0,0,0,0,
2022,Jan. 20,1/20/2022,11.58,0,0,0,0,0,0,0,
2022,Jan. 24,1/24/2022,19.95,0,0,0,0,0,0,0,
2022,Sep. 26,9/26/2022,274.95,0,0.01,0.41,0.42,0.28,0.01,0.12,
2022,Oct. 12,10/12/2022,149.74,0.09,0.06,0.25,0.2,0.11,0.02,0.06,
2022,Oct. 31,10/31/2022,86.45,1.46,0.44,0.31,0.29,0.09,0.06,0.13,
2022,Nov. 17,11/17/2022,98.76,0.41,0.37,0.46,0.46,0.16,0.09,0.2,
2022,Dec. 5,12/5/2022,127.81,0,0,0.02,0.03,0.02,0.01,0,
2022,Dec. 19,12/19/2022,20.48,0,0,0,0,0,0,0,
2023,Jan. 4,1/4/2023,17.62,0,0,0,0,0,0,0,
2023,Jan. 12,1/12/2023,21.47,0,0,0,0,0,0,0,
2023,Sep. 25,9/25/2023,39.94,0.77,0.08,0.44,0.41,0.12,0.05,0.23,
2023,Oct. 4,10/4/2023,57.85,1.78,0.31,0.48,0.39,0.1,0.02,0.27,
2023,Oct. 10,10/10/2023,51.34,1.88,0.78,0.34,0.35,0.1,0.03,0.22,
2023,Oct. 16,10/16/2023,55.93,1.16,0.36,0.48,0.45,0.19,0.04,0.22,
2023,Oct. 24,10/24/2023,52.2,1.13,0.79,0.87,0.83,0.33,0.13,0.37,
2023,Oct. 30,10/30/2023,79.02,1.6,0.36,0.95,0.99,0.37,0.15,0.46,
2023,Nov. 9,11/9/2023,69.97,1.31,0.18,0.53,0.66,0.33,0.1,0.23,
2023,Nov. 15,11/15/2023,42.99,1.03,0.1,0.55,0.67,0.31,0.07,0.29,
2023,Nov. 27,11/27/2023,41.03,0.71,0.07,0.47,0.42,0.27,0.04,0.12,
2023,Dec. 4,12/4/2023,38.93,0.43,0.05,0.42,0.4,0.22,0.06,0.12,
2023,Dec. 11,12/11/2023,38.24,0.19,0.04,0.31,0.35,0.21,0.06,0.08,
2023,Dec. 18,12/18/2023,22.46,0.12,0.03,0.33,0.34,0.21,0.06,0.07,
2023,Dec. 21,12/21/2023,27.56,0.07,0.02,0.33,0.29,0.17,0.06,0.06,
2024,Jan. 3,1/3/2024,32.72,0.07,0.01,0.24,0.23,0.15,0.05,0.03,
2024,Jan. 16,1/16/2024,78.26,0,0,0.04,0.04,0.03,0.01,0,
2024,Jan. 22,1/22/2024,9.43,0,0,0.01,0,0,0,0,
2024,Jan. 25,1/25/2024,,,,,,,,,
2024,Jan. 29,1/29/2024,9.23,0,0,0,0,0,0,0,
