ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,PARAMETER_CODE_NAME,PARAMETER_STATUS_NAME,USE_NAME,ATTAINMENT_CODE_NAME,PARAMETER_ATTAINMENT,FIRST_LISTED_CYCLE
UT-L-16030002-011_00,Koosharem Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-16030002-011_00,Koosharem Reservoir,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16020202-012_00,Soldier Creek-1,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16020202-012_00,Soldier Creek-1,SEDIMENT,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-16030002-004_00,Otter Creek Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16030001-005_00,Sevier River-3,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16030002-005_00,East Fork Sevier River-4,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2000
UT16020101-007_00,Echo Creek,SEDIMENT,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16010101-016_00,Saleratus Creek,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-14040106-033_00,Matt Warner Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-14040106-033_00,Matt Warner Reservoir,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16020202-022_00,Thistle Creek-1,SEDIMENT,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2008
UT-L-14040106-034_00,Calder Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-14040106-034_00,Calder Reservoir,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT14060003-001_00,Duchesne River-1,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,1998
UT14060003-002_00,Duchesne River-2,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2016
UT-L-14060004-001_00,Strawberry Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-14060004-001_00,Strawberry Reservoir,DISSOLVED OXYGEN,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT-L-16030002-005_00,Lower Box Creek Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-16030002-005_00,Lower Box Creek Reservoir,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2004
UT14030005-003_00,Colorado River-3,SELENIUM,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2006
UT-L-16020101-002_00,Rockport Reservoir,DISSOLVED OXYGEN,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT16020204-002_00,Jordan River-2,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2002
UT16020204-002_00,Jordan River-2,DISSOLVED OXYGEN,Cause,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria,2002
UT-L-16020101-001_00,Echo Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1994
UT-L-16020101-001_00,Echo Reservoir,DISSOLVED OXYGEN,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT14030001-005_00,Colorado River-5,SELENIUM,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2004
UT14030005-004_00,Colorado River-4,SELENIUM,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2006
UT14010005-001_00,Colorado River-6,SELENIUM,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2004
UT16020204-012_00,Emigration Creek,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2008
UT16020204-001_01,Jordan River-1,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2002
UT16020204-001_01,Jordan River-1,DISSOLVED OXYGEN,Cause,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria,2002
UT16020204-001_02,North Canyon Creek,DISSOLVED OXYGEN,Cause,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria,2002
UT16020204-003_00,Jordan River-3,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2008
UT14060005-003_00,Ninemile,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-14070003-019_00,Forsyth Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-14070003-019_00,Forsyth Reservoir,DISSOLVED OXYGEN,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT14070002-007_00,Quitchipah Creek Lower,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT14070002-008_00,Ivie Creek Lower,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT14060009-003_01,Huntington Creek-3-1,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2016
UT14060009-003_02,Huntington Creek-3-2,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2016
UT14060009-003_03,Rilda Canyon,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2016
UT14060009-003_04,Bear Canyon-2,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2016
UT14060009-004_01,Huntington Creek-2,TOTAL DISSOLVED SOLIDS (TDS),Meeting Criteria,Agricultural,Not Supporting,Meeting criteria,
UT14060009-004_02,Bear Canyon-1,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT14060009-011_00,Cottonwood Creek Lower,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT14060009-014_00,San Rafael Lower,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2016
UT16010202-002_00,Newton Creek,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1996
UT16030003-012_00,Sevier River-17,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2000
UT16030003-012_00,Sevier River-17,SEDIMENT,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2000
UT16030003-012_00,Sevier River-17,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2000
UT16030005-026_00,Sevier River-22,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,1998
UT16030005-026_00,Sevier River-22,SEDIMENT,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,1998
UT16030005-027_00,Sevier River-24,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,1998
UT16030005-027_00,Sevier River-24,SEDIMENT,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,1998
UT16030003-003_00,Salina Creek-1,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,1998
UT16030001-005_00,Sevier River-3,SEDIMENT,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16030001-007_00,Sevier River-2,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2002
UT16030001-007_00,Sevier River-2,SEDIMENT,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2002
UT16030001-009_00,Mammoth Creek Lower,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2004
UT14060007-006_00,Gordon Creek,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT14060007-015_00,Price River-5,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2016
UT14060007-017_00,Pinnacle Wash,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2016
UT-L-16010202-013_00,Newton Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-16010202-013_00,Newton Reservoir,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-16030001-006_00,Panguitch Lake,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2000
UT-L-16030001-006_00,Panguitch Lake,DISSOLVED OXYGEN,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT16030004-001_00,San Pitch-1,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT16030004-005_01,San Pitch-3-1,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,1998
UT16030004-005_02,San Pitch-3-2,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,1998
UT16030004-009_00,San Pitch-5,PH,Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2022
UT16030004-009_00,San Pitch-5,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2022
UT16030004-009_00,San Pitch-5,PH,Cause,Agricultural,Not Supporting,Not meeting criteria,2022
UT16020101-020_01,Silver Creek-1,CADMIUM,Cause,Domestic Source,Not Supporting,Not meeting criteria,1998
UT16020101-020_01,Silver Creek-1,CADMIUM,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16020101-020_01,Silver Creek-1,CADMIUM,Cause,Agricultural,Not Supporting,Not meeting criteria,1998
UT16020101-020_01,Silver Creek-1,ZINC,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16020101-020_02,Silver Creek-2,CADMIUM,Cause,Domestic Source,Not Supporting,Not meeting criteria,1998
UT16020101-020_02,Silver Creek-2,CADMIUM,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16020101-020_02,Silver Creek-2,CADMIUM,Cause,Agricultural,Not Supporting,Not meeting criteria,1998
UT16020101-020_02,Silver Creek-2,ZINC,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT14060007-007_00,Price River-3,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT-L-14060010-008_00,Red Fleet Reservoir,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT15010008-001_00,Santa Clara-1,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,1998
UT-L-15010008-008_00,Baker Dam Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2002
UT-L-15010008-008_00,Baker Dam Reservoir,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT-L-15010008-001_00,Gunlock Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,1998
UT-L-15010008-001_00,Gunlock Reservoir,DISSOLVED OXYGEN,Meeting Criteria,Aquatic Wildlife (Warm Water),Not Supporting,Meeting criteria,
UT-L-16020102-020_00,East Canyon Reservoir,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2022
UT15010008-015_00,North Fork Virgin River-1,ESCHERICHIA COLI (E. COLI),Meeting Criteria,Domestic Source,Fully Supporting,Meeting criteria,
UT15010008-015_00,North Fork Virgin River-1,ESCHERICHIA COLI (E. COLI),Meeting Criteria,Recreation and Aesthetics (Frequent Primary Contact),Fully Supporting,Meeting criteria,
UT15010008-013_00,North Fork Virgin River-2,ESCHERICHIA COLI (E. COLI),Cause,Domestic Source,Not Supporting,Not meeting criteria,2010
UT15010008-013_00,North Fork Virgin River-2,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria,2010
UT14070003-005_00,Fremont River-2,ESCHERICHIA COLI (E. COLI),Cause,Domestic Source,Not Supporting,Not meeting criteria,2020
UT14070003-005_00,Fremont River-2,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria,2020
UT14070003-008_00,Fremont River-3,ESCHERICHIA COLI (E. COLI),Cause,Domestic Source,Not Supporting,Not meeting criteria,2014
UT14070003-008_00,Fremont River-3,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria,2014
UT-L-16010203-012_00,Tony Grove Lake,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2004
UT14060007-017_00,Pinnacle Wash,SELENIUM,Meeting Criteria,Aquatic Wildlife (Non-game Fish and Other),Fully Supporting,Meeting criteria,
UT14060007-002_00,Scofield Tributaries,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2016
UT-L-16020304-004_00,Settlement Canyon Reservoir,PH,Meeting Criteria,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria,
UT14080203-001_00,Verdure Creek-1,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2020
UT14070002-004_02,Ivie Creek Upper-2,TOTAL DISSOLVED SOLIDS (TDS),Meeting Criteria,Agricultural,Insufficient Information,Meeting criteria,
UT16010101-006_00,Bear River-4,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT16020203-004_00,Provo River-4,PH,Cause,Domestic Source,Not Supporting,Not meeting criteria,2022
UT16020203-004_00,Provo River-4,PH,Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2022
UT16020203-004_00,Provo River-4,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2022
