Basin,Scenario,HUC_12,Watershed,Ecological_Index,Stressor_Index,Social_Index,RPI_Score
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160101010803,Rabbitt Creek-Bear River,22.8,41.391,16.667,32.692
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160102030105,Hyrum Reservoir-Little Bear River,47.4,44.591,17,39.936
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160102020504,Middle Cub River,45.5,54.318,71.683,54.288
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160102020507,Lower Cub River,34.9,56.009,44.45,41.114
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160102020705,Newton Creek,34.9,60.682,17.267,30.495
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160102020703,Nebo Creek-Bear River,24.4,66.627,16.817,24.863
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160102020604,Pullum Hollow-Bear River,2.7,78.982,16.75,13.489
Bear River,1B: What nutrient impaired AUs with significant agricultural land uses are within drinking water source protection areas?,160102020706,Cutler Reservoir-Bear River,15.6,79.618,16.667,17.55
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102040301,North Canyon,100,3.131,25.66,74.176
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160101010602,Upper Big Creek,69,4.477,66.28,76.934
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102010107,North Eden Canyon,87,4.762,38.64,73.626
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102030307,Card Canyon-Logan River,62.9,6.167,33.84,63.524
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102020506,High Creek,91.4,7.642,41.32,75.026
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102040303,Brood Canyon,76.5,10.454,40,68.682
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160101010804,Sixmile Creek,62,11.708,63.88,71.391
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160101010603,Lower Big Creek,52.2,11.977,60.42,66.881
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160101010802,Sage Creek-Bear River,50.8,13.208,65.7,67.764
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160101010805,Antelope Creek-Bear River,55.1,17.138,42.82,60.261
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102040502,Mantua Reservoir-Box Elder Creek,45.6,17.208,52.7,60.364
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102030209,Millville Canyon-Blacksmith Fork,58.9,21.892,51.76,62.923
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160101010803,Rabbitt Creek-Bear River,38.4,22.685,57.74,57.818
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102040302,Brush Canyon-Malad River,65.9,23.569,39.54,60.624
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102040305,Johnson Canyon-Malad River,47.8,23.885,43.3,55.738
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102040304,Portage Canyon-Malad River,47.3,24.123,29.44,50.872
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102030308,Little Logan River-Logan River,22.6,32.492,66.8,52.303
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102040308,Willow Creek-Bear River,40.4,32.823,72.94,60.172
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102040503,Box Elder Creek-Black Slough,31.1,32.969,60,52.71
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102040306,Water Canyon-Malad River,31.8,40.192,64.82,52.143
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102040307,Outlet Malad River,26.4,41.708,71.42,52.037
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102020504,Middle Cub River,54.1,42.254,56.98,56.275
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102020703,Nebo Creek-Bear River,39.5,52.423,63.54,50.206
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102020604,Pullum Hollow-Bear River,24.5,67.985,68.02,41.512
Bear River,1C: What primary contact recreational use lakes/reservoirs are impaired as a result of Harmful Algal Blooms (advisories) and E. coli?,160102030402,Spring Creek,0,68.123,63.64,31.839
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102040301,North Canyon,100,2.34,35,77.553
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102030307,Card Canyon-Logan River,62.9,5.311,40,65.863
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160101010602,Upper Big Creek,69,5.82,45,69.393
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102010107,North Eden Canyon,87,6.17,45,75.277
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102020506,High Creek,91.4,6.611,30,71.596
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102040303,Brood Canyon,76.5,8.17,50,72.777
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160101010603,Lower Big Creek,52.2,12.48,45,61.573
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160101010804,Sixmile Creek,62,12.52,50,66.493
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160101010805,Antelope Creek-Bear River,55.1,13.38,50,63.907
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160101010802,Sage Creek-Bear River,50.8,13.93,50,62.29
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102040302,Brush Canyon-Malad River,65.9,15.09,45,65.27
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160101010803,Rabbitt Creek-Bear River,38.4,17.11,45,55.43
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102040305,Johnson Canyon-Malad River,47.8,17.88,50,59.973
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102040502,Mantua Reservoir-Box Elder Creek,45.6,18.34,50,59.087
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102040304,Portage Canyon-Malad River,47.3,20.55,35,53.917
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102030209,Millville Canyon-Blacksmith Fork,58.9,25.92,35,55.993
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102040308,Willow Creek-Bear River,40.4,27.6,50,54.267
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102040306,Water Canyon-Malad River,31.8,30.87,50,50.31
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102040307,Outlet Malad River,26.4,34.93,50,47.157
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102040503,Box Elder Creek-Black Slough,31.1,35.88,50,48.407
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102030308,Little Logan River-Logan River,22.6,37.09,50,45.17
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102020504,Middle Cub River,54.1,37.73,45,53.79
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102020703,Nebo Creek-Bear River,39.5,59.02,50,43.493
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102020604,Pullum Hollow-Bear River,24.5,69.6,50,34.967
Bear River,1D: What primary contact recreational use lakes/reservoirs are E. coli impaired?,160102030402,Spring Creek,0,76.04,70,31.32
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102010107,North Eden Canyon,87,0.55,17.35,67.933
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010803,Rabbitt Creek-Bear River,38.4,0.712,17.183,51.624
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010602,Upper Big Creek,69,1.312,18.783,62.157
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010502,Middle Saleratus Creek,64.8,1.688,20.2,61.104
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010804,Sixmile Creek,62,1.762,17.4,59.213
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010503,Lower Saleratus Creek,47.3,1.962,18.367,54.568
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102030303,Temple Fork,81,1.975,16.75,65.258
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010603,Lower Big Creek,52.2,1.987,17.683,55.965
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010501,Upper Saleratus Creek,51.4,2.088,19.783,56.365
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102040303,Brood Canyon,76.5,2.112,16.667,63.685
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010601,Bear River-Sage Hollow,33.2,2.15,19.017,50.022
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010604,Brazier Canyon-Bear River,26.3,2.288,18.367,47.46
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010805,Antelope Creek-Bear River,55.1,2.325,17.2,56.658
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010703,Lower Woodruff Creek,83.2,2.338,18.3,66.387
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102030302,Hells Kitchen Canyon-Logan River,82.4,2.35,17.15,65.733
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102010101,Cottonwood Canyon,55.7,2.45,16.9,56.717
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102030306,Cottonwood Canyon-Logan River,78.7,2.65,17.2,64.417
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102040301,North Canyon,100,2.925,16.8,71.292
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010605,Little Creek,59.6,2.938,18.167,58.276
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010802,Sage Creek-Bear River,50.8,3.062,17.733,55.157
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102010102,Laketown Canyon,66.7,3.475,17.517,60.247
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102030304,Tony Grove Creek,68.6,3.538,17.633,60.898
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010801,Bridger Creek-Bear River,77.6,3.85,18.3,64.017
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010504,Neponset Reservoir,78.5,3.962,20.933,65.157
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010303,Whitney Canyon Creek-Bear River,43.5,4.038,35.7,58.387
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010401,Upper Yellow Creek,75.9,4.275,19.917,63.847
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102030305,Right Fork Logan Canyon,76.3,4.538,17.3,63.021
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010906,Lower Twin Creek-Bear River,91.8,4.575,17.567,68.264
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160101010103,Willow Creek-Bear River,70.1,4.688,18.8,61.404
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102020506,High Creek,91.4,4.837,17.567,68.043
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102020705,Newton Creek,46.8,4.913,18.717,53.535
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102040302,Brush Canyon-Malad River,65.9,4.925,17.517,59.497
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102040304,Portage Canyon-Malad River,47.3,5.438,17.583,53.148
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102010103,Big Creek,56.9,5.65,19.017,56.756
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102020504,Middle Cub River,54.1,5.662,34.383,60.94
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102030301,Beaver Creek,70.8,6.125,17.417,60.697
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102040504,Bear River-Frontal Great Salt Lake,56.9,6.275,33.383,61.336
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102030405,Fourmile Creek-Little Bear River,49.7,7.8,16.817,52.906
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102020706,Cutler Reservoir-Bear River,33.4,7.812,17.283,47.624
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102040306,Water Canyon-Malad River,31.8,8.35,17.7,47.05
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102040502,Mantua Reservoir-Box Elder Creek,45.6,8.737,24.983,53.949
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102020704,Clay Slough,27.5,8.825,16.883,45.186
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102040305,Johnson Canyon-Malad River,47.8,8.913,17.767,52.218
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102040308,Willow Creek-Bear River,40.4,9,23.717,51.706
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102010106,Garden City Canyon-Frontal Bear River,73.5,9.112,34.917,66.435
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102020604,Pullum Hollow-Bear River,24.5,9.9,18.267,44.289
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102030105,Hyrum Reservoir-Little Bear River,55.4,10.438,37.233,60.732
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102030307,Card Canyon-Logan River,62.9,10.9,31.367,61.122
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102040501,Jim May Canyon-Salt Creek,56.8,11.975,18.3,54.375
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102010105,Hodges Canyon-Frontal Bear River,51.4,12.325,23.217,54.097
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102030403,Deep Canyon-Little Bear River,35.6,13.725,19.917,47.264
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102020507,Lower Cub River,46.7,17.175,18.033,49.186
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102040307,Outlet Malad River,26.4,21.025,18.817,41.397
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102020703,Nebo Creek-Bear River,39.5,23.2,17.483,44.594
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102030209,Millville Canyon-Blacksmith Fork,58.9,28.1,22.483,51.094
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102040503,Box Elder Creek-Black Slough,31.1,43.925,28.833,38.669
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102030402,Spring Creek,0,58.275,21.35,21.025
Bear River,1E: What HUC12 watersheds contain impaired waters within high density areas and high use areas (i.e. may affect a large number of people)?,160102030308,Little Logan River-Logan River,22.6,97.913,34.617,19.768
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160102030304,Tony Grove Creek,74.8,2.82,46.667,72.882
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160102040502,Mantua Reservoir-Box Elder Creek,49.7,27.68,33.333,51.784
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160102010103,Big Creek,62,32.62,33.333,54.238
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160101010605,Little Creek,64.9,33.02,62.5,64.793
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160102010102,Laketown Canyon,72.7,40.12,28.333,53.638
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160102010101,Cottonwood Canyon,60.7,42.6,26.667,48.256
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160101010703,Lower Woodruff Creek,90.7,43.22,66.667,71.382
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160101010502,Middle Saleratus Creek,70.6,44.08,46.667,57.729
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160101010801,Bridger Creek-Bear River,84.5,51.38,62.5,65.207
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160101010906,Lower Twin Creek-Bear River,100,52.66,62.5,69.947
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160101010802,Sage Creek-Bear River,55.3,54.32,62.5,54.493
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160102030403,Deep Canyon-Little Bear River,38.7,58.3,45.833,42.078
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160101010804,Sixmile Creek,67.6,58.7,62.5,57.133
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160102030105,Hyrum Reservoir-Little Bear River,60.4,59,41.667,47.689
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160101010805,Antelope Creek-Bear River,60,59.14,33.333,44.731
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160101010803,Rabbitt Creek-Bear River,41.8,61.18,59.167,46.596
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160101010601,Bear River-Sage Hollow,36.2,63.22,66.667,46.549
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160101010501,Upper Saleratus Creek,56,63.5,50,47.5
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160101010604,Brazier Canyon-Bear River,28.7,65.14,62.5,42.02
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160101010503,Lower Saleratus Creek,51.6,70.74,46.667,42.509
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160102020705,Newton Creek,51,74.08,42.5,39.807
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160102020706,Cutler Reservoir-Bear River,36.4,74.72,54.167,38.616
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160102030405,Fourmile Creek-Little Bear River,54.2,75.28,42.5,40.473
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160101010303,Whitney Canyon Creek-Bear River,47.4,76.64,50,40.253
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160102030402,Spring Creek,0,84.32,45.833,20.504
Bear River,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,160101010504,Neponset Reservoir,85.5,87.6,50,49.3
Bear River,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,160102030405,Fourmile Creek-Little Bear River,54.2,31.175,42.5,55.175
Bear River,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,160101010805,Antelope Creek-Bear River,60,32.55,33.333,53.594
Bear River,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,160102010101,Cottonwood Canyon,60.7,34.875,26.667,50.831
