"","WATER_TYPE_NAME","Mgmt_Unit","ASSESSMENT_UNIT_ID","ASSESSMENT_UNIT_NAME","LAST_ASSESSED_CYCLE","DWQ_Category","EPA_IR_CATEGORY_ID","PARAMETER_CODE_NAME","PARAMETER_ATTAINMENT","Uses","FIRST_LISTED_CYCLE","CWA303D_PRIORITY_RANKING","WATER_SIZE","UNITS","HNNC","Parameter_Status"
"20","LAKE, FRESHWATER","Western Colorado River","UT-L-14060007-001_00","Fairview Lakes",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,103.8574,"Acres","",NA
"21","LAKE, FRESHWATER","Western Colorado River","UT-L-14060007-004_00","Lower Gooseberry Reservoir",2022,"Not Supporting","5","PHOSPHORUS, TOTAL","Not meeting criteria","Aquatic Wildlife (Cold Water)",2010,"Low",64.1617,"Acres","","TMDL Needed"
"22","LAKE, FRESHWATER","Western Colorado River","UT-L-14060007-005_00","Scofield Reservoir",2024,"Not Supporting but has Approved TMDL for some parameters","5","DISSOLVED OXYGEN","Not meeting criteria","Aquatic Wildlife (Cold Water)",1998,"Low",2670.447,"Acres","","TMDL Approved (1060)"
"23","LAKE, FRESHWATER","Western Colorado River","UT-L-14060007-005_00","Scofield Reservoir",2024,"Not Supporting but has Approved TMDL for some parameters","5","EUTROPHICATION","Not meeting criteria","Aquatic Wildlife (Cold Water)",2022,"High",2670.447,"Acres","","TMDL Needed"
"24","LAKE, FRESHWATER","Western Colorado River","UT-L-14060007-005_00","Scofield Reservoir",2024,"Not Supporting but has Approved TMDL for some parameters","5","HARMFUL ALGAL BLOOMS","Not meeting criteria","Recreation and Aesthetics (Infrequent Primary Contact)",2020,"Low",2670.447,"Acres","","TMDL Needed"
"25","LAKE, FRESHWATER","Western Colorado River","UT-L-14060007-005_00","Scofield Reservoir",2024,"Not Supporting but has Approved TMDL for some parameters","5","PH","Not meeting criteria","Aquatic Wildlife (Cold Water)",2024,"Low",2670.447,"Acres","","TMDL Approved (1060)"
"26","LAKE, FRESHWATER","Western Colorado River","UT-L-14060007-005_00","Scofield Reservoir",2024,"Not Supporting but has Approved TMDL for some parameters","5","PHOSPHORUS, TOTAL","Not meeting criteria","Aquatic Wildlife (Cold Water)",1998,"Low",2670.447,"Acres","","TMDL Approved (1060)"
"27","LAKE, FRESHWATER","Western Colorado River","UT-L-14060009-001_00","Ferron Reservoir",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,54.0587,"Acres","",NA
"28","LAKE, FRESHWATER","Western Colorado River","UT-L-14060009-004_00","Duck Fork Reservoir",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,42.2838,"Acres","",NA
"29","LAKE, FRESHWATER","Western Colorado River","UT-L-14060009-017_00","Joes Valley Reservoir",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,1052.2234,"Acres","",NA
"30","LAKE, FRESHWATER","Western Colorado River","UT-L-14060009-018_00","Huntington Reservoir",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,163.0396,"Acres","",NA
"31","LAKE, FRESHWATER","Western Colorado River","UT-L-14060009-023_00","Miller Flat Reservoir",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,160.5126,"Acres","",NA
"32","LAKE, FRESHWATER","Western Colorado River","UT-L-14060009-024_00","Cleveland Reservoir",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,146.5912,"Acres","",NA
"33","LAKE, FRESHWATER","Western Colorado River","UT-L-14060009-025_00","Electric Lake",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,450.7146,"Acres","",NA
"34","LAKE, FRESHWATER","Western Colorado River","UT-L-14060009-026_00","Millsite Reservoir",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,367.1425,"Acres","",NA
"35","LAKE, FRESHWATER","Western Colorado River","UT-L-14060009-034_00","Huntington Lake North",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,235.0793,"Acres","",NA
"36","LAKE, FRESHWATER","Western Colorado River","UT-L-14070003-006_00","Fish Lake",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,2586.4949,"Acres","",NA
"37","LAKE, FRESHWATER","Western Colorado River","UT-L-14070003-010_00","Johnson Valley Reservoir",2022,"Approved TMDL","4A","PHOSPHORUS, TOTAL","Not meeting criteria","Aquatic Wildlife (Cold Water)",1998,"Low",671.6737,"Acres","","TMDL Approved (4059)"
"38","LAKE, FRESHWATER","Western Colorado River","UT-L-14070003-015_00","Mill Meadow Reservoir",2024,"Not Supporting but has Approved TMDL for some parameters","5","HARMFUL ALGAL BLOOMS","Not meeting criteria","Recreation and Aesthetics (Infrequent Primary Contact)",2024,"Low",160.4492,"Acres","","TMDL Needed"
"39","LAKE, FRESHWATER","Western Colorado River","UT-L-14070003-015_00","Mill Meadow Reservoir",2024,"Not Supporting but has Approved TMDL for some parameters","5","PHOSPHORUS, TOTAL","Not meeting criteria","Aquatic Wildlife (Cold Water)",1998,"Low",160.4492,"Acres","","TMDL Approved (4061)"
"40","LAKE, FRESHWATER","Western Colorado River","UT-L-14070003-018_00","Cook Lake",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,10.3812,"Acres","",NA
"41","LAKE, FRESHWATER","Western Colorado River","UT-L-14070003-019_00","Forsyth Reservoir",2022,"Approved TMDL","4A","DISSOLVED OXYGEN","Meeting criteria","Aquatic Wildlife (Cold Water)",NA,"",165.0508,"Acres","","TMDL Approved (4060)"
"42","LAKE, FRESHWATER","Western Colorado River","UT-L-14070003-019_00","Forsyth Reservoir",2022,"Approved TMDL","4A","PHOSPHORUS, TOTAL","Not meeting criteria","Aquatic Wildlife (Cold Water)",1998,"Low",165.0508,"Acres","","TMDL Approved (4060)"
"43","LAKE, FRESHWATER","Western Colorado River","UT-L-14070003-027_00","Donkey Reservoir",2024,"Not Supporting","5","PH","Not meeting criteria","Aquatic Wildlife (Cold Water)",2020,"Low",23.7681,"Acres","","TMDL Needed"
"44","LAKE, FRESHWATER","Western Colorado River","UT-L-14070003-044_00","Lower Bowns Reservoir",2024,"Not Supporting","5","DISSOLVED OXYGEN","Not meeting criteria","Aquatic Wildlife (Cold Water)",2010,"Low",107.9439,"Acres","","TMDL Needed"
"45","LAKE, FRESHWATER","Western Colorado River","UT-L-14070003-044_00","Lower Bowns Reservoir",2024,"Not Supporting","5","PH","Not meeting criteria","Aquatic Wildlife (Cold Water)",2006,"Low",107.9439,"Acres","","TMDL Needed"
"46","LAKE, FRESHWATER","Western Colorado River","UT-L-14070003-044_00","Lower Bowns Reservoir",2024,"Not Supporting","5","PHOSPHORUS, TOTAL","Not meeting criteria","Aquatic Wildlife (Cold Water)",2012,"Low",107.9439,"Acres","","TMDL Needed"
"47","LAKE, FRESHWATER","Western Colorado River","UT-L-14070003-044_00","Lower Bowns Reservoir",2024,"Not Supporting","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Cold Water)",2012,"Low",107.9439,"Acres","","TMDL Needed"
"48","LAKE, FRESHWATER","Western Colorado River","UT-L-14070005-008_00","Posey Lake",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,12.0249,"Acres","",NA
"49","LAKE, FRESHWATER","Western Colorado River","UT-L-14070005-011_00","Wide Hollow Reservoir",2024,"Not Supporting","5","DISSOLVED OXYGEN","Not meeting criteria","Aquatic Wildlife (Cold Water)",2010,"Low",155.635,"Acres","","TMDL Needed"
"50","LAKE, FRESHWATER","Western Colorado River","UT-L-14070005-011_00","Wide Hollow Reservoir",2024,"Not Supporting","5","PH","Not meeting criteria","Aquatic Wildlife (Cold Water)",2008,"Low",155.635,"Acres","","TMDL Needed"
"51","LAKE, FRESHWATER","Western Colorado River","UT-L-14070005-011_00","Wide Hollow Reservoir",2024,"Not Supporting","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Cold Water)",2008,"Low",155.635,"Acres","","TMDL Needed"
"52","LAKE, FRESHWATER","Western Colorado River","UT-L-14070006-001_00","Lake Powell",2022,"Fully Supporting","1",NA,NA,NA,NA,NA,149885.2379,"Acres","",NA
"53","RIVER","Lower Colorado River","UT15010003-001_00","Cottonwood Canyon",2020,"Not Supporting","5","DISSOLVED OXYGEN","Not meeting criteria","Aquatic Wildlife (Non-game Fish and Other)",2014,"Low",5.9654,"Miles","","TMDL Needed"
"54","RIVER","Lower Colorado River","UT15010003-001_00","Cottonwood Canyon",2020,"Not Supporting","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Non-game Fish and Other)",2014,"Low",5.9654,"Miles","","TMDL Needed"
"55","RIVER","Lower Colorado River","UT15010003-002_01","Kanab Creek-1-1",2020,"Not Supporting","5","TOTAL DISSOLVED SOLIDS (TDS)","Not meeting criteria","Agricultural",2008,"Low",6.6696,"Miles","","TMDL Needed"
"56","RIVER","Lower Colorado River","UT15010003-002_02","Kanab Creek-1-2",2024,"Not Supporting","5","DISSOLVED OXYGEN","Not meeting criteria","Aquatic Wildlife (Non-game Fish and Other)",2024,"Low",11.4265,"Miles","","TMDL Needed"
"57","RIVER","Lower Colorado River","UT15010003-002_02","Kanab Creek-1-2",2024,"Not Supporting","5","TOTAL DISSOLVED SOLIDS (TDS)","Not meeting criteria","Agricultural",2008,"Low",11.4265,"Miles","","TMDL Needed"
"58","RIVER","Lower Colorado River","UT15010003-003_00","Kanab Creek-2",2024,"Not Supporting","5","BORON","Not meeting criteria","Agricultural",2014,"Low",6.1751,"Miles","","TMDL Needed"
"59","RIVER","Lower Colorado River","UT15010003-003_00","Kanab Creek-2",2024,"Not Supporting","5","SELENIUM","Not meeting criteria","Agricultural, Aquatic Wildlife (Non-game Fish and Other)",2016,"Low",6.1751,"Miles","","TMDL Needed"
"60","RIVER","Lower Colorado River","UT15010003-003_00","Kanab Creek-2",2024,"Not Supporting","5","TOTAL DISSOLVED SOLIDS (TDS)","Not meeting criteria","Agricultural",2014,"Low",6.1751,"Miles","","TMDL Needed"
"61","RIVER","Lower Colorado River","UT15010003-004_00","Johnson Wash-1",2024,"Not Supporting","5","BORON","Not meeting criteria","Agricultural",2014,"Low",22.1778,"Miles","","TMDL Needed"
"62","RIVER","Lower Colorado River","UT15010003-004_00","Johnson Wash-1",2024,"Not Supporting","5","TOTAL DISSOLVED SOLIDS (TDS)","Not meeting criteria","Agricultural",2008,"Low",22.1778,"Miles","","TMDL Needed"
"63","RIVER","Lower Colorado River","UT15010003-005_00","Johnson Wash-2",2024,"Not Supporting","5","DISSOLVED OXYGEN","Not meeting criteria","Aquatic Wildlife (Cold Water)",2014,"Low",27.1966,"Miles","","TMDL Needed"
"64","RIVER","Lower Colorado River","UT15010003-005_00","Johnson Wash-2",2024,"Not Supporting","5","PH","Not meeting criteria","Aquatic Wildlife (Cold Water), Recreation and Aesthetics (Infrequent Primary Contact), Agricultural",2022,"Low",27.1966,"Miles","","TMDL Needed"
"65","RIVER","Lower Colorado River","UT15010003-005_00","Johnson Wash-2",2024,"Not Supporting","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Cold Water)",2014,"Low",27.1966,"Miles","","TMDL Needed"
"66","RIVER","Lower Colorado River","UT15010003-005_00","Johnson Wash-2",2024,"Not Supporting","5","TOTAL DISSOLVED SOLIDS (TDS)","Not meeting criteria","Agricultural",2014,"Low",27.1966,"Miles","","TMDL Needed"
"67","RIVER","Lower Colorado River","UT15010003-005_00","Johnson Wash-2",2024,"Not Supporting","5","ZINC","Not meeting criteria","Aquatic Wildlife (Cold Water)",2014,"Low",27.1966,"Miles","","TMDL Needed"
"68","RIVER","Lower Colorado River","UT15010003-006_00","Kanab Creek-3",2010,"Insufficient Data","3",NA,NA,NA,NA,NA,1.2394,"Miles","",NA
"69","RIVER","Lower Colorado River","UT15010008-001_00","Santa Clara-1",2024,"Not Supporting but has Approved TMDL for some parameters","5","BORON","Not meeting criteria","Agricultural",2008,"Low",23.8208,"Miles","","TMDL Needed"
"70","RIVER","Lower Colorado River","UT15010008-001_00","Santa Clara-1",2024,"Not Supporting but has Approved TMDL for some parameters","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Warm Water)",2008,"Low",23.8208,"Miles","","TMDL Needed"
"71","RIVER","Lower Colorado River","UT15010008-001_00","Santa Clara-1",2024,"Not Supporting but has Approved TMDL for some parameters","5","TOTAL DISSOLVED SOLIDS (TDS)","Not meeting criteria","Agricultural",1998,"Low",23.8208,"Miles","","TMDL Approved (12104)"
"72","RIVER","Lower Colorado River","UT15010008-002_00","Santa Clara-2",2022,"Not Supporting","5","DISSOLVED OXYGEN","Not meeting criteria","Aquatic Wildlife (Cold Water)",2014,"Low",27.0488,"Miles","","TMDL Needed"
"73","RIVER","Lower Colorado River","UT15010008-002_00","Santa Clara-2",2022,"Not Supporting","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Cold Water)",2008,"Low",27.0488,"Miles","","TMDL Needed"
"74","RIVER","Lower Colorado River","UT15010008-003_00","Santa Clara-3",2022,"Not Supporting","5","NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS","Threatened","Aquatic Wildlife (Cold Water)",2022,"Low",38.123,"Miles","","TMDL Needed"
"75","RIVER","Lower Colorado River","UT15010008-004_00","Virgin River-2",2024,"Not Supporting","5","BORON","Not meeting criteria","Agricultural",2008,"Low",34.5952,"Miles","","TMDL Needed"
"76","RIVER","Lower Colorado River","UT15010008-004_00","Virgin River-2",2024,"Not Supporting","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Warm Water)",2022,"Low",34.5952,"Miles","","TMDL Needed"
"77","RIVER","Lower Colorado River","UT15010008-004_00","Virgin River-2",2024,"Not Supporting","5","TOTAL DISSOLVED SOLIDS (TDS)","Not meeting criteria","Agricultural",2014,"Low",34.5952,"Miles","","TMDL Needed"
"78","RIVER","Lower Colorado River","UT15010008-005_00","Quail Creek",2022,"Insufficient Data","3",NA,NA,NA,NA,NA,1.0331,"Miles","",NA
"79","RIVER","Lower Colorado River","UT15010008-006_00","Leeds Creek",2014,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,10.3541,"Miles","",NA
"80","RIVER","Lower Colorado River","UT15010008-007_00","Ash Creek-1",2022,"Not Supporting","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Cold Water)",2016,"Low",27.185,"Miles","","TMDL Needed"
"81","RIVER","Lower Colorado River","UT15010008-008_00","Ash Creek-2",2012,"Insufficient Data","3",NA,NA,NA,NA,NA,8.0848,"Miles","",NA
"82","RIVER","Lower Colorado River","UT15010008-009_00","Ash Creek-3",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,44.5043,"Miles","",NA
"83","RIVER","Lower Colorado River","UT15010008-010_00","La Verkin Creek",2022,"Not Supporting","5","BENTHIC MACROINVERTEBRATES BIOASSESSMENTS","Not meeting criteria","Aquatic Wildlife (Warm Water)",2016,"Low",48.0063,"Miles","","TMDL Needed"
"84","RIVER","Lower Colorado River","UT15010008-011_00","Virgin River-3",2022,"Fully Supporting","1",NA,NA,NA,NA,NA,4.2655,"Miles","",NA
"85","RIVER","Lower Colorado River","UT15010008-012_00","Virgin River-4",2010,"Insufficient Data","3",NA,NA,NA,NA,NA,20.4604,"Miles","",NA
"86","RIVER","Lower Colorado River","UT15010008-013_00","North Fork Virgin River-2",2024,"Not Supporting but has Approved TMDL for some parameters","5","ESCHERICHIA COLI (E. COLI)","Not meeting criteria","Domestic Source, Recreation and Aesthetics (Frequent Primary Contact)",2010,"Low",37.7151,"Miles","","TMDL Approved (R8-UT-2018-01)"
"87","RIVER","Lower Colorado River","UT15010008-013_00","North Fork Virgin River-2",2024,"Not Supporting but has Approved TMDL for some parameters","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Cold Water)",2014,"Low",37.7151,"Miles","","TMDL Needed"
"88","RIVER","Lower Colorado River","UT15010008-014_00","North Creek-Virgin",2024,"Not Supporting","5","BENTHIC MACROINVERTEBRATES BIOASSESSMENTS","Not meeting criteria","Aquatic Wildlife (Non-game Fish and Other)",2016,"Low",25.4163,"Miles","","TMDL Needed"
"89","RIVER","Lower Colorado River","UT15010008-014_00","North Creek-Virgin",2024,"Not Supporting","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Non-game Fish and Other)",2024,"Low",25.4163,"Miles","","TMDL Needed"
"90","RIVER","Lower Colorado River","UT15010008-015_00","North Fork Virgin River-1",2024,"Not Supporting but has Approved TMDL for some parameters","5","ESCHERICHIA COLI (E. COLI)","Meeting criteria","Domestic Source",2024,"Low",47.2362,"Miles","","TMDL Approved (R8-UT-2018-01)"
"91","RIVER","Lower Colorado River","UT15010008-015_00","North Fork Virgin River-1",2024,"Not Supporting but has Approved TMDL for some parameters","5","ESCHERICHIA COLI (E. COLI)","Not meeting criteria","Recreation and Aesthetics (Frequent Primary Contact)",2024,"Low",47.2362,"Miles","","TMDL Approved (R8-UT-2018-01)"
"92","RIVER","Lower Colorado River","UT15010008-015_00","North Fork Virgin River-1",2024,"Not Supporting but has Approved TMDL for some parameters","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Cold Water)",2010,"Low",47.2362,"Miles","","TMDL Needed"
"93","RIVER","Lower Colorado River","UT15010008-016_00","Kolob Creek",2022,"Insufficient Data","3",NA,NA,NA,NA,NA,15.6481,"Miles","",NA
"94","RIVER","Lower Colorado River","UT15010008-017_00","Deep Creek",2014,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,66.1076,"Miles","",NA
"95","RIVER","Lower Colorado River","UT15010008-018_00","East Fork Virgin-1",2024,"Not Supporting","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Non-game Fish and Other)",2024,"Low",38.5233,"Miles","Assessed HNNC","TMDL Needed"
"96","RIVER","Lower Colorado River","UT15010008-019_00","East Fork Virgin-2",2016,"Fully Supporting","1",NA,NA,NA,NA,NA,25.7728,"Miles","",NA
"97","RIVER","Lower Colorado River","UT15010008-020_00","East Fork Virgin-3",2014,"Insufficient Data","3",NA,NA,NA,NA,NA,35.891,"Miles","",NA
"98","RIVER","Lower Colorado River","UT15010009-001_00","Fort Pearce Wash",2012,"Not Supporting","5","TOTAL DISSOLVED SOLIDS (TDS)","Not meeting criteria","Agricultural",2012,"Low",0,"Miles","","TMDL Needed"
"99","RIVER","Lower Colorado River","UT15010009-002_00","Short Creek",2014,"Insufficient Data","3",NA,NA,NA,NA,NA,5.3471,"Miles","",NA
"100","RIVER","Lower Colorado River","UT15010010-001_00","Virgin River-1",2024,"Not Supporting","5","BORON","Not meeting criteria","Agricultural",2008,"Low",11.9234,"Miles","","TMDL Needed"
"101","RIVER","Lower Colorado River","UT15010010-001_00","Virgin River-1",2024,"Not Supporting","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Warm Water)",2006,"Low",11.9234,"Miles","","TMDL Needed"
"102","RIVER","Lower Colorado River","UT15010010-001_00","Virgin River-1",2024,"Not Supporting","5","TOTAL DISSOLVED SOLIDS (TDS)","Not meeting criteria","Agricultural",2014,"Low",11.9234,"Miles","","TMDL Needed"
"103","RIVER","Lower Colorado River","UT15010010-002_00","Beaver Dam Wash",2020,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,24.4495,"Miles","",NA
"104","RIVER","Southeast Colorado River","UT14010005-001_00","Colorado River-6",2010,"Approved TMDL","4A","SELENIUM","Not meeting criteria","Aquatic Wildlife (Warm Water)",2004,"Low",3.8387,"Miles","","TMDL Approved (60100)"
"105","RIVER","Southeast Colorado River","UT14010005-002_00","Unknown tribs",2010,"Insufficient Data","3",NA,NA,NA,NA,NA,0,"Miles","",NA
"106","RIVER","Southeast Colorado River","UT14030001-001_00","Cottonwood Wash",2022,"Not Supporting","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Warm Water)",2014,"Low",22.69,"Miles","","TMDL Needed"
"107","RIVER","Southeast Colorado River","UT14030001-001_00","Cottonwood Wash",2022,"Not Supporting","5","TOTAL DISSOLVED SOLIDS (TDS)","Not meeting criteria","Agricultural",2020,"Low",22.69,"Miles","","TMDL Needed"
"108","RIVER","Southeast Colorado River","UT14030001-002_00","Little Dolores River",2010,"Insufficient Data","3",NA,NA,NA,NA,NA,7.2017,"Miles","",NA
"109","RIVER","Southeast Colorado River","UT14030001-003_00","Westwater Creek",2020,"Not Supporting","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Warm Water)",2012,"Low",18.4242,"Miles","","TMDL Needed"
"110","RIVER","Southeast Colorado River","UT14030001-003_00","Westwater Creek",2020,"Not Supporting","5","TOTAL DISSOLVED SOLIDS (TDS)","Not meeting criteria","Agricultural",2012,"Low",18.4242,"Miles","","TMDL Needed"
"111","RIVER","Southeast Colorado River","UT14030001-004_00","Bitter Creek",2010,"Insufficient Data","3",NA,NA,NA,NA,NA,3.7914,"Miles","",NA
"112","RIVER","Southeast Colorado River","UT14030001-005_00","Colorado River-5",2022,"Approved TMDL","4A","SELENIUM","Not meeting criteria","Aquatic Wildlife (Warm Water)",2004,"Low",33.291,"Miles","","TMDL Approved (60103)"
"113","RIVER","Southeast Colorado River","UT14030001-006_00","Nash Wash",2022,"No Evidence of Impairment","2",NA,NA,NA,NA,NA,6.4257,"Miles","",NA
"114","RIVER","Southeast Colorado River","UT14030002-001_01","La Sal Creek-1",2024,"Not Supporting","5","PH","Not meeting criteria","Aquatic Wildlife (Cold Water), Recreation and Aesthetics (Infrequent Primary Contact), Agricultural",2022,"Low",23.913,"Miles","","TMDL Needed"
"115","RIVER","Southeast Colorado River","UT14030002-001_01","La Sal Creek-1",2024,"Not Supporting","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Cold Water)",2022,"Low",23.913,"Miles","","TMDL Needed"
"116","RIVER","Southeast Colorado River","UT14030002-001_02","La Sal Creek-2",2014,"Insufficient Data","3",NA,NA,NA,NA,NA,0,"Miles","",NA
"117","RIVER","Southeast Colorado River","UT14030002-001_03","La Sal Creek-3",2014,"Insufficient Data","3",NA,NA,NA,NA,NA,0,"Miles","",NA
"118","RIVER","Southeast Colorado River","UT14030004-001_00","Dolores River",2024,"Not Supporting","5","BENTHIC MACROINVERTEBRATES BIOASSESSMENTS","Not meeting criteria","Aquatic Wildlife (Non-game Fish and Other)",2020,"Low",61.5556,"Miles","","TMDL Needed"
"119","RIVER","Southeast Colorado River","UT14030004-001_00","Dolores River",2024,"Not Supporting","5","TEMPERATURE","Not meeting criteria","Aquatic Wildlife (Non-game Fish and Other)",2014,"Low",61.5556,"Miles","","TMDL Needed"
"120","RIVER","Southeast Colorado River","UT14030004-001_00","Dolores River",2024,"Not Supporting","5","TOTAL DISSOLVED SOLIDS (TDS)","Not meeting criteria","Agricultural",2024,"Low",61.5556,"Miles","","TMDL Needed"
"121","RIVER","Southeast Colorado River","UT14030004-002_00","Granite Creek - CRSE",2020,"Insufficient Data","3",NA,NA,NA,NA,NA,10.7667,"Miles","",NA
